|||Columns|
Rows|||Turkey|
||||
||||
||2018|149229.0|
||2019|150000.0|
||2020|167004.0|
||2021|200000.0|
|Production Quantity and 01.11.99.00.01. (Kenevir Tohumu) - Tonne|2004|30.0|
||2005|13.0|
||2006|13.0|
||2007|24.0|
||2008|12.0|
||2009|3.0|
||2010|7.0|
||2011|8.0|
||2012|4.0|
||2013|1.0|
||2014|1.0|
||2015|1.0|
||2016|1.0|
||2017|1.0|
||2018|3.0|
||2019|20.0|
||2020|273.0|
||2021|20.0|
|Production Quantity and 01.11.99.00.02. (Haşhaş Tohumu) - Tonne|2004|17809.0|
||2005|13644.0|
||2006|30187.0|
||2007|8981.0|
||2008|10834.0|
||2009|34194.0|
||2010|36910.0|
||2011|45077.0|
||2012|3844.0|
||2013|19244.0|
||2014|16223.0|
||2015|30730.0|
||2016|18205.0|
||2017|15244.0|
||2018|26991.0|
||2019|27288.0|
||2020|20542.0|
||2021|21037.0|
|Production Quantity and 01.11.99.00.03. (Aspir Tohumu) - Tonne|2004|150.0|
||2005|215.0|
||2006|395.0|
||2007|2280.0|
||2008|7068.0|
||2009|20076.0|
||2010|26000.0|
||2011|18228.0|
||2012|19945.0|
||2013|45000.0|
||2014|62000.0|
||2015|70000.0|
||2016|58000.0|
||2017|50000.0|
||2018|35000.0|
||2019|21883.0|
||2020|21325.0|
||2021|16200.0|
|Production Quantity and 01.12.10.00.00. (Çeltik) - Tonne|2004|490000.0|
||2005|600000.0|
||2006|696000.0|
||2007|648000.0|
||2008|753325.0|
||2009|750000.0|
||2010|860000.0|
||2011|900000.0|
||2012|880000.0|
||2013|900000.0|
||2014|830000.0|
||2015|920000.0|
||2016|920000.0|
||2017|900000.0|
||2018|940000.0|
||2019|1000000.0|
||2020|980000.0|
||2021|1000000.0|
|Production Quantity and 01.13.51.00.00. (Patates (Tatlı Patates Hariç)) - Tonne|2004|4770000.0|
||2005|4060000.0|
||2006|4366180.0|
||2007|4227726.0|
||2008|4196522.0|
||2009|4397711.0|
||2010|4513453.0|
||2011|4613071.0|
||2012|4795122.0|
||2013|3948000.0|
||2014|4166000.0|
||2015|4760000.0|
||2016|4750000.0|
||2017|4800000.0|
||2018|4550000.0|
||2019|4979824.0|
||2020|5200000.0|
||2021|5100000.0|
|Production Quantity and 01.13.52.00.00. (Tatlı Patates) - Tonne|2004|30000.0|
||2005|30000.0|
||2006|31125.0|
||2007|18481.0|
||2008|28646.0|
||2009|27728.0|
||2010|34930.0|
